ID,Nome,SKU,Tipo,Status,Preço,"Preço Regular","Preço Promoção",Estoque,Categorias,Tags,"Imagem Principal"
5143,"Shorts masculino azul callaway tam 32",0000323,simple,publish,420,420,,1,Array,,
5144,"Shorts masculino GREG NORMAN PRETO tamanho 34",0000322,simple,publish,420,420,,1,Array,,
5145,"Shorts saia branco stride skort TAM L",0000321,simple,publish,320,320,,1,,,
5141,"Shorts azul marinho greg norman tam 32",0000325,simple,publish,420,420,,1,Array,,
5142,"Shorts callaway cinza tam 36",0000324,simple,publish,420,420,,1,Array,,
5140,"Shorts saia preto stride skort XS",0000326,simple,publish,320,320,,1,Array,,
5136,"shorts saia feminino preto callaway tam xs",0000330,simple,publish,380,380,,1,Array,,
5137,"Shorts masculino walter hagen verde tam W42 8""",0000329,simple,publish,460,460,,1,Array,,
5138,"shorts masculino walter hagen cinza tam W42 10""",0000328,simple,publish,460,460,,1,Array,,
5139,"Shorts saia preto stride skort TAM S",0000327,simple,publish,320,320,,1,Array,,
5133,"calça walter hagen bege claro tam W46 L32",0000333,simple,publish,480,480,,1,Array,,
5134,"shorts masculino adidas bege tam 38",0000332,simple,publish,460,460,,1,Array,,
5135,"shorts saia calia golf verde claro tam S",0000331,simple,publish,380,380,,1,,,
5130,"Trio bola titleist pro v1x",0000336,simple,publish,120,120,,1,Array,,
5131,"SHORTS BRANCO WALTER HAGEN FEM TAM 0",0000335,simple,publish,320,320,,1,Array,,
5132,"shorts saia lady hagen azul marinho tam XS",0000334,simple,publish,380,380,,1,Array,,
5127,"PACOTE BOLINHA USADA 120,00",4,simple,publish,120,120,,1,Array,,
5128,"PACOTE BOLINHA USADA 40,00",3,simple,publish,40,40,,1,Array,,
5129,"PACOTE BOLINHA USADA 30,00",2,simple,publish,30,30,,1,Array,,
5125,"PACOTE BOLINHA USADA 60,00",6,simple,publish,60,60,,1,Array,,
5126,"PACOTE BOLINHA USADA 50,00",5,simple,publish,50,50,,1,,,
5124,"PACOTE BOLINHA USADA 100,00",7,simple,publish,100,100,,1,Array,,
5121,"PACOTE BOLINHA USADA 250,00",10,simple,publish,250,250,,1,Array,,
5122,"PACOTE BOLINHA USADA 150,00",9,simple,publish,150,150,,1,Array,,
5123,"PACOTE BOLINHA USADA 80,00",8,simple,publish,80,80,,1,Array,,
5117,"CAIXA C/ 3 UNIDADES TAIWAN VERDE",14,simple,publish,60,60,,1,Array,,
5118,"CAIXA C/ 3 UNIDADES TAIWAN ROSA",13,simple,publish,60,60,,1,Array,,
5119,"CAIXA COMPLETA TAIWAN VERDE",12,simple,publish,199,199,,1,Array,,
5120,"CAIXA COMPLETA TAIWAN ROSA",11,simple,publish,199,199,,1,Array,,
5114,"CAIXA C/ 3 UNIDADES BRIDGESTONE",17,simple,publish,80,80,,1,Array,,
5115,"CAIXA C/ 3 UNIDADES TITLEIST",16,simple,publish,100,100,,1,Array,,
5116,"CAIXA C/ 3 UNIDADES SRIXON",15,simple,publish,110,110,,1,,,
5113,"KIT COCA COLA BOLINHA / TEE",18,simple,publish,120,120,,1,Array,,
4727,"camiseta clube feminina preta G",0000374,simple,publish,140,140,,1,Array,,
4550,"caixa de bolas com logo 12un",0000003,simple,publish,620,620,,1,,,
4551,"PAR MEIA IZZO BRANCO",0000002,simple,publish,39,39,,1,,,
4552,"CHAVEIRO TACO E BOLA DE GOLF",0000001,simple,publish,80,80,,1,,,
4542,"FootJoy Women's Flex Golf Cinza c Roxo (TAM 6)",0000011,simple,publish,990,990,,1,,,
4543,"Nike React Infinity Pro Golf /(TAM 9.5) PRETO E AMARELO FLOURECENTE",0000010,simple,publish,1450,1450,,1,,,
4545,"FootJoy  ONCINHA (TAM 7 )",0000008,simple,publish,1450,1450,,1,,,
4547,"Prestigio preto",0000006,simple,publish,6,6,,1,,,
4548,"Sonho de valsa",0000005,simple,publish,3,3,,1,,,
4549,"TÊNIS NIKE 6",0000004,simple,publish,845.5,845.5,,1,,,
4501,"Pringles original",0000053,simple,publish,18,18,,1,,,
4526,"FootJoy  ONCINHA (TAM 7 1/2)",0000028,simple,publish,1450,1450,,1,,,
4502,"Pringles creme e cebola",0000052,simple,publish,18,18,,1,,,
4527,"Ténis Adidas Branco Masculino TAM 9",0000027,simple,publish,1250,1250,,1,,,
4504,"Guaraná Lata",0000050,simple,publish,8,8,,1,,,
4528,"Ténis Adidas Solarmotion BOA 24 Spikeless Golf CINZA COM VERDE TAM 8",0000026,simple,publish,1250,1250,,1,,,
4505,"Coca cola 0",0000049,simple,publish,8,8,,1,,,
4529,"Nike React Infinity Pro Golf /(TAM 9.5) PRETO E AMARELO FLOURECENTE",0000025,simple,publish,1450,1450,,1,,,
4506,"Coca cola",0000048,simple,publish,8,8,,1,,,
4530,"Ténis Adidas S2G BOA Spikeless Golf BRANCO E VERMELHO TAM 11 1/2",0000024,simple,publish,1350,1350,,1,,,
4510,"Picole NUTS GLACERADA",0000044,simple,publish,15,15,,1,,,
4532,"Tênis G/FORE SEREIA TAM 11",0000022,simple,publish,2450,2450,,1,,,
4511,"Picole framboesa",0000043,simple,publish,12,12,,1,,,
4534,"FootJoy Women's FJ Fuel Golf Shoes 1 - (TAM 8 1/2) COURO",0000019,simple,publish,1150,1150,,1,,,
4512,"Picole limonada suiça",0000042,simple,publish,8,8,,1,,,
4535,"FootJoy Flex preto 1 TECIDO (TAM 8 1/2 )",0000018,simple,publish,1150,1150,,1,,,
4513,"Picole uva classico",0000041,simple,publish,8,8,,1,,,
4536,"FootJoy Women's FJ Fuel Golf (TAM 6)",0000017,simple,publish,1350,1350,,1,,,
